make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
121,Alfa Romeo,164,3.0 MT,V-type,6,Gasoline,9,13,7
122,Alfa Romeo,164,3.0 V6 MT,V-type,6,Gasoline,8,12,6
123,Alfa Romeo,164,3.0i MT,V-type,6,Gasoline,9,11,7
124,Alfa Romeo,166,2.0 MT,Inline,4,Gasoline,9,13,7
125,Alfa Romeo,166,2.0 MT,Inline,4,Gasoline,9,13,7
126,Alfa Romeo,166,2.4 JTD MT,Inline,5,Diesel,7,10,5
127,Alfa Romeo,166,2.4 JTD MT,Inline,5,Diesel,7,9,6
128,Alfa Romeo,166,2.5 MT,V-type,6,Gasoline,11,17,8
129,Alfa Romeo,166,3.0 MT,V-type,6,Gasoline,12,18,9
130,Alfa Romeo,166,3.2 MT,V-type,6,Gasoline,12,18,9
131,Alfa Romeo,33,1.4 MT,Opposed,4,Gasoline,7.9,9.9,5.7
132,Alfa Romeo,33,1.4 MT,Opposed,4,Gasoline,7.8,9.5,5.8
133,Alfa Romeo,33,1.4 MT AWD,Opposed,4,Gasoline,7.8,9.5,5.8
134,Alfa Romeo,33,1.5 MT,Opposed,4,Gasoline,8,10.4,6
135,Alfa Romeo,33,1.5 MT,Opposed,4,Gasoline,8,9.5,6
136,Alfa Romeo,33,1.7 MT,Opposed,4,Gasoline,7.6,9.9,5.7
137,Alfa Romeo,33,1.7 MT,Opposed,4,Gasoline,7.9,10.5,5.9
138,Alfa Romeo,33,1.7 MT AWD,Opposed,4,Gasoline,7.6,10.9,5.7
139,Alfa Romeo,33,1.8 TD MT,Opposed,4,Diesel,7,7.3,4.9
140,Alfa Romeo,33,1.4 MT,Opposed,4,Gasoline,7.5,9.5,5.7
141,Alfa Romeo,33,1.4 MT AWD,Opposed,4,Gasoline,8.3,9.6,6.1
142,Alfa Romeo,33,1.5 MT,Opposed,4,Gasoline,7.8,10,6
143,Alfa Romeo,33,1.7 MT AWD,Opposed,4,Gasoline,7.6,10.9,5.7
144,Alfa Romeo,33,1.8 TD MT,Opposed,4,Diesel,6.7,7.3,4.7
145,Alfa Romeo,4C,1.7 TCT,Inline,4,Gasoline,6.8,9.8,5
146,Alfa Romeo,75,2.0 MT,Inline,4,Gasoline,8.6,10.2,6.2
147,Alfa Romeo,75,2.4 TD MT,Inline,4,Diesel,7.4,8.9,5.5
148,Alfa Romeo,75,3.0 MT,V-type,6,Gasoline,9.8,12,7
149,Alfa Romeo,Brera,2.2 AT,Inline,4,Gasoline,9.8,13.7,7.9
150,Alfa Romeo,Brera,2.2 JTS MT,Inline,4,Gasoline,9.4,13,7.3
151,Alfa Romeo,Brera,2.4 JTD MT,Inline,5,Diesel,6.8,8.8,5.4
152,Alfa Romeo,Brera,3.2 AT,V-type,6,Gasoline,12,18,8
153,Alfa Romeo,Brera,3.2 JTS MT,V-type,6,Gasoline,11.5,16.9,8.4
154,Alfa Romeo,Giulia,2.0 AT,Inline,4,Gasoline,6,8.4,4.6
155,Alfa Romeo,Giulia,2.0 AT Q4,Inline,4,Gasoline,6.4,8.9,4.9
156,Alfa Romeo,Giulia,2.2 D AE AT,Inline,4,Diesel,3.8,4.8,3.2
