make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
Fiat,Palio,1.9d MT,Inline,4,Diesel,5.2,8.2,8.7
Fiat,Panda,0.8 MT,Inline,4,Gasoline,5.2,6.8,4.6
Fiat,Panda,1.1 MT,Inline,4,Gasoline,5.3,6.9,4.4
Fiat,Panda,1.2 MT 4x4,Inline,4,Gasoline,6.6,7.9,5.8
Fiat,Punto,0.9 MT,inline,2,petrol,4.2,4.9,3.8
Fiat,Punto,1.1 MT,Inline,4,Gasoline,6.9,8.9,5
Fiat,Punto,1.2 CVT,Inline,4,Gasoline,6.8,8.2,5
Fiat,Punto,1.2 MT,Inline,4,Gasoline,6.2,9.1,5.4
Fiat,Punto,1.2 TDI MT,Inline,4,Diesel,4.5,5.6,3.9
Fiat,Punto,1.3 AMT,inline,4,diesel,4.5,5.8,3.8
Fiat,Punto,1.3 MT,inline,4,diesel,4.7,5.9,4
Fiat,Punto,1.4 AMT,Inline,4,Gasoline,6.1,7.7,5.2
Fiat,Punto,1.4 MT,Inline,4,Gasoline,8.4,9.7,6.1
Fiat,Punto,1.4T MT,Inline,4,Gasoline,5.6,7.3,4.6
Fiat,Punto,1.6 MT,Inline,4,Gasoline,7.8,9.5,6.6
Fiat,Punto,1.7 D MT,Inline,4,Diesel,6,7,4.6
Fiat,Punto,1.7 MT,Inline,4,Gasoline,8.3,11.5,6.4
Fiat,Punto,1.7 TD MT,Inline,4,Diesel,6.5,8.9,5.1
Fiat,Punto,1.8 MT,inline,4,petrol,8.3,11.5,6.4
Fiat,Punto,1.9 MT,inline,4,Diesel,5.7,7.2,4.8
Fiat,Punto,1.9 TD MT,Inline,4,Diesel,4.9,6.6,4
Fiat,Punto,1.9 TDI MT,Inline,4,Diesel,5.7,7.2,4.8
Fiat,Qubo,1.3 MT,inline,4,diesel,4.5,5.7,3.8
Fiat,Regata,1.3 MT,inline,4,Gasoline,6.7,7.7,4.9
Fiat,Scudo,1.6 MT,inline,4,Diesel,7.2,8.4,6.6
Fiat,Scudo,2.0 MultiJet MT LWB H1 29,Inline,4,Diesel,7.3,8.8,6.5
Fiat,Scudo,2.0 MultiJet MT SWB H1 27,Inline,4,Diesel,7.3,8.8,6.5
Fiat,Sedici,1.6 AT 4x2,Inline,4,Gasoline,7.6,9.8,6.4
Fiat,Sedici,1.6 MT 4x2,Inline,4,Gasoline,6.2,7.9,5.2
Fiat,Sedici,1.6 MT 4x4,Inline,4,Gasoline,7.1,8.9,6.1
Fiat,Sedici,1.6 MT,Inline,4,Gasoline,7,8,6
Fiat,Sedici,2.0 MT 4x4,Inline,4,Diesel,5.4,7,4.6
Fiat,Seicento,0.9 MT,inline,4,petrol,6.1,7.9,5.1
Fiat,Seicento,1.1 MT,inline,4,petrol,6.2,8.3,4.7
Fiat,Stilo,1.2 MT,Inline,4,Gasoline,6.3,7.9,5.3
Fiat,Stilo,1.4 MT,Inline,4,Gasoline,6.5,8.2,5.5
Fiat,Stilo,1.6 MT,Inline,4,Gasoline,7.3,10.1,5.7
Fiat,Stilo,1.8 MT,Inline,4,Gasoline,8,11.3,6.1
Fiat,Stilo,1.9 TD MT,Inline,4,Diesel,5.3,7.2,4.2
Fiat,Stilo,2.4 MT,Inline,5,Gasoline,9.7,13.5,7.6
Fiat,Tempra,1.4 MT,Inline,4,Gasoline,7,9,5
Fiat,Tempra,1.6 MT,Inline,4,Gasoline,7,9,5
Fiat,Tempra,1.9 D MT,Inline,4,Diesel,6.3,6.4,4.5
Fiat,Tipo,1.1 MT,Inline,4,Gasoline,6,7.7,4.9
Fiat,Tipo,1.3 MT,inline,4,diesel,3.7,4.5,3.3
Fiat,Tipo,1.4 MT,Inline,4,Gasoline,7.3,8.9,5.4
Fiat,Tipo,1.6 AT,inline,4,petrol,6.3,9.2,4.6
Fiat,Tipo,1.6 MT,Inline,4,Gasoline,7,10,6
Fiat,Tipo,1.8 AT,Inline,4,Gasoline,8,11,6
Fiat,Tipo,1.8 MT,Inline,4,Gasoline,8,11,6
Fiat,Tipo,1.9 D AT,Inline,4,Diesel,6.1,7,5.3
Fiat,Tipo,1.9 D MT,Inline,4,Diesel,5.3,6.7,4.9
Fiat,Tipo,2.0 AT,Inline,4,Gasoline,8.7,11,7
Fiat,Tipo,2.0 MT,Inline,4,Gasoline,9,11.5,7.5
Fiat,Ulysse,1.8 MT,inline,4,Gasoline,10.3,13.2,8.6
Fiat,Ulysse,2.0 MT Turbo,Inline,4,Gasoline,9.9,12.8,7.6
Fiat,Ulysse,2.0 MT,inline,4,Gasoline,10.6,14.2,8.6
Fiat,Ulysse,2.0 TD MT,Inline,4,Diesel,7,9,5
Fiat,Ulysse,2.1 TD MT,Inline,4,Diesel,7,10,6
Fiat,Ulysse,2.2 TD MT,Inline,4,Diesel,7,10,5
Fiat,Ulysse,3.0 AT,V-type,6,Gasoline,11,15,9
Fiat,Uno,0.9 MT,Inline,4,Gasoline,6.2,7.1,4.7
Fiat,Uno,1.0 MT,Inline,4,Gasoline,6.4,6.7,4.6
Fiat,Uno,1.1 MT,Inline,4,Gasoline,6.5,7.6,4.8
Fiat,Uno,1.4 MT,Inline,4,Gasoline,8.2,9.8,6
Fiat,Uno,1.4 TD MT,Inline,4,Diesel,6,5.7,4.2
Fiat,Uno,1.5 MT,Inline,4,Gasoline,7,8.4,5.5
Fiat,Uno,1.7 D MT,Inline,4,Diesel,6,6.2,4.4
Fiat,Uno,1.7 MT,inline,4,Diesel,6.2,6,4.4
Fiat,Uno,1.9 D MT,Inline,4,Diesel,6,6.2,4.4
Fiat,Uno,1.9 MT,inline,4,Diesel,6.2,6,4.4
Ford,Bronco,5.0 MT,V-type,8,Gasoline,15.5,17,14
Ford,C-Max,1.0 EcoBoost MT,Inline,3,Gasoline,5.1,6.3,4.5
Ford,C-Max,1.6 EcoBoost MT,Inline,4,Gasoline,6.2,7.8,5.3
Ford,C-Max,1.6 Flexi-fuel MT,Inline,4,Gasoline,8.5,11.2,6.9
Ford,C-Max,1.6 LPG MT,Inline,4,Gasoline, Gas,6.8,8.9,5.5
Ford,C-Max,1.6 MT EcoBoost,Inline,4,Gasoline,6.8,9.2,5.5
Ford,C-Max,1.6 MT,Inline,4,Gasoline,6.9,8.9,5.7
Ford,C-Max,1.6 TDCi CVT,Inline,4,Diesel,5.1,7.1,4.9
Ford,C-Max,1.6 TDCi DPF CVT,Inline,4,Diesel,5.8,7.4,4.9
Ford,C-Max,1.6 TDCi DPF MT,Inline,4,Diesel,4.9,6.3,4.1
Ford,C-Max,1.6 TDCi MT,Inline,4,Diesel,4.9,6.3,4.1
Ford,C-Max,1.8 CVT,Inline,4,Gasoline,7.7,10.6,6
Ford,C-Max,1.8 Flexi-fuel MT,Inline,4,Gasoline,7.1,9.6,5.6
Ford,C-Max,1.8 MT,Inline,4,Gasoline,7.1,9.6,5.6
Ford,C-Max,1.8 TDCi MT,Inline,4,Diesel,5.4,6.9,4.5
Ford,C-Max,2.0 AT,Inline,4,Gasoline,8.1,11.3,6.2
Ford,C-Max,2.0 CNG MT,Inline,4,Gasoline, Gas,7.3,10,5.6
Ford,C-Max,2.0 LPG MT,Inline,4,Gasoline, Gas,7.2,9.9,5.5
Ford,C-Max,2.0 MT,Inline,4,Gasoline,7.3,10,5.6
Ford,C-Max,2.0 TDCi AT,Inline,4,Diesel,5.8,7.6,4.8
Ford,C-Max,2.0 TDCi DPF MT,Inline,4,Diesel,5.8,7.6,4.8
Ford,C-Max,2.0 TDCi DPF Powershift,Inline,4,Diesel,5.9,8,4.9
Ford,C-Max,2.0 TDCi MT,Inline,4,Diesel,5.8,7.6,4.8
Ford,C-Max,2.0 TDCi PowerShift,Inline,4,Diesel,5.8,7.4,5
Ford,Contour,2.0 AT,inline,4,petrol,8.7,10,6.8
Ford,Contour,2.0 MT,inline,4,petrol,8.4,9.8,6.7
Ford,Contour,2.5 AT,V-type,6,petrol,9.6,11.8,8.1
Ford,Contour,2.5 MT,V-type,6,petrol,9.6,11.8,8.1
Ford,EcoSport,1.0 EcoBoost AT,Inline,3,Gasoline,5.8,7.2,5
Ford,EcoSport,1.0 EcoBoost MT,Inline,3,Gasoline,5.3,6.6,4.7
Ford,EcoSport,1.5  MT,Inline,4,Gasoline,6.3,8.1,5.2
Ford,EcoSport,1.5 AT,Inline,3,Gasoline,6.8,9.5,5.5
Ford,EcoSport,1.5 EcoBlue MT AWD,Inline,4,Diesel,4.5,4.8,4.4
Ford,EcoSport,1.5 MT,Inline,3,Gasoline,6.4,8.5,5.2
Ford,EcoSport,1.5 TDCi MT,Inline,4,Diesel,4.6,4.9,4.4
Ford,EcoSport,1.6  PowerShift,Inline,4,Gasoline,6.9,9.2,5.6
Ford,EcoSport,1.6 MT,Inline,4,Gasoline,6.6,9.1,5.2
Ford,EcoSport,2.0 AT AWD,Inline,4,Gasoline,8.5,11.4,6.9
Ford,EcoSport,2.0 MT 4WD,Inline,4,Gasoline,8.3,11.4,6.5
Ford,Edge,2.0 AMT 4WD,inline,4,diesel,5.9,6.5,5.5
Ford,Edge,2.0 AT 4WD,inline,4,petrol,10.2,11.2,8.4
Ford,Edge,2.0 AT,inline,4,petrol,9.8,11.2,8.1
Ford,Edge,2.0 MT 4WD,inline,4,diesel,5.8,6.4,5.4
Ford,Edge,2.7 AT 4WD,V-type,6,petrol,11.2,12.4,9
Ford,Escape,1.5 EcoBoost AT AWD,Inline,4,Gasoline,9.8,10.7,8.4
Ford,Escape,1.5 EcoBoost AT,Inline,4,Gasoline,9,10.2,7.8
Ford,Escape,1.6 EcoBoost AT 4WD,Inline,4,Gasoline,9.4,10.7,7.8
Ford,Escape,1.6 EcoBoost AT,Inline,4,Gasoline,9,10.2,7.1
Ford,Escape,2.0 EcoBoost AT 4WD,Inline,4,Gasoline,9.8,11.2,8.4
Ford,Escape,2.0 EcoBoost AT AWD,Inline,4,Gasoline,10.2,11.8,8.7
Ford,Escape,2.0 EcoBoost AT,Inline,4,Gasoline,9.4,10.7,7.8
Ford,Escape,2.0 MT 4WD,Inline,4,Gasoline,11.2,11.8,9.8
Ford,Escape,2.0 MT,Inline,4,Gasoline,10.2,11.2,9
Ford,Escape,2.3 AT 4WD,inline,4,petrol,10,14,7
Ford,Escape,2.3 AT AWD,Inline,4,Gasoline,9.8,13,8
Ford,Escape,2.3 AT,Inline,4,Gasoline,11.2,12.4,10.2
Ford,Escape,2.3 MT 4WD,Inline,4,Gasoline,11.2,12.4,9.8
Ford,Escape,2.3 MT,Inline,4,Gasoline,9.8,11.2,8.7
Ford,Escape,2.3 eCVT 4WD,Inline,4,Hybrid,8.7,9,8.4
Ford,Escape,2.3 eCVT,Inline,4,Hybrid,8.1,8.4,7.8
Ford,Escape,2.5 AT 4WD,Inline,4,Gasoline,11.2,12.4,9.4
Ford,Escape,2.5 AT,Inline,4,Gasoline,10.2,11.8,8.4
Ford,Escape,2.5 MT,Inline,4,Gasoline,9.8,10.7,8.4
Ford,Escape,2.5 eCVT 4WD,Inline,4,Hybrid,8.4,8.7,8.1
Ford,Escape,2.5 eCVT,Inline,4,Hybrid,7.4,7.6,6.9
Ford,Escape,3.0 AT 4WD,V-type,6,Gasoline,13.1,14.7,10.7
Ford,Escape,3.0 AT,V-type,6,Gasoline,13.1,14.7,10.7
Ford,Escort,1.1 4MT,Inline,4,Gasoline,6.4,8.2,5.1
Ford,Escort,1.1 MT,Inline,4,Gasoline,6.9,7,5.8
Ford,Escort,1.3 4MT,Inline,4,Gasoline,7.2,7.7,5.7
Ford,Escort,1.3 AT,Inline,4,Gasoline,8.2,8.7,6.3
Ford,Escort,1.3 MT,Inline,4,Gasoline,6.5,7.2,5.9
Ford,Escort,1.4 Alc. MT,Inline,4,Gasoline,9.8,10.5,7.8
Ford,Escort,1.4 MT,Inline,4,Gasoline,7.1,7.8,5.7
Ford,Escort,1.6 4MT,Inline,4,Gasoline,7.5,8,5.9
Ford,Escort,1.6 5MT XR3,Inline,4,Gasoline,8.4,9.5,7.5
Ford,Escort,1.6 5MT,Inline,4,Gasoline,7.1,7.7,5.3
Ford,Escort,1.6 AT,Inline,4,Gasoline,10,11.1,7.5
Ford,Escort,1.6 Alc. 4MT,Inline,4,Gasoline,10.7,11,8.5
Ford,Escort,1.6 Alc. 5MT,Inline,4,Gasoline,10.1,11.1,7.7
Ford,Escort,1.6 D MT,Inline,4,Diesel,5.4,6.6,4.5
Ford,Escort,1.6 MT 4X4,Inline,4,Gasoline,8,10.7,6.4
Ford,Escort,1.6 MT XR3 alc.,Inline,4,Gasoline,11.1,12.4,10.2
Ford,Escort,1.6 MT XR3,Inline,4,Gasoline,11,12.2,8.1
Ford,Escort,1.6 MT alc.,Inline,4,Gasoline,10,11.3,9.5
Ford,Escort,1.6 MT,Inline,4,Gasoline,8.8,9,7
Ford,Escort,1.6 RS Mexico MT,Inline,4,Gasoline,8.6,9,6.7
Ford,Escort,1.6i MT,Inline,4,Gasoline,8,9,5.9
Ford,Escort,1.8 D MT,Inline,4,Diesel,5.3,6.8,4.7
Ford,Escort,1.8 MT XR3 alc.,Inline,4,Gasoline,13.1,14.5,12.3
Ford,Escort,1.8 MT XR3,Inline,4,Gasoline,9.5,10.4,9
Ford,Escort,1.8 MT,Inline,4,Gasoline,9.5,10.5,8.8
Ford,Escort,1.8 RS 1800 MT,Inline,4,Gasoline,9.8,10.4,7.7
Ford,Escort,1.8 TD MT,Inline,4,Diesel,6.6,8.5,5.5
Ford,Escort,2.0 AT,Inline,4,Gasoline,10.8,12.1,8
Ford,Escort,2.0 MT,Inline,4,Gasoline,9.7,10.1,7.7
Ford,Escort,2.0 RS 2000 MT,Inline,4,Gasoline,10.2,10.9,7.8
Ford,Expedition,3.5 AT 4WD,V-type,6,petrol,13.8,15.7,11.8
Ford,Expedition,3.5 AT AWD MAX,V-type,6,Gasoline,13.1,14.7,11.2
Ford,Expedition,3.5 AT AWD,V-type,6,Gasoline,12.4,13.8,10.2
Ford,Expedition,3.5 AT MAX,V-type,6,Gasoline,12.4,13.8,10.7
Ford,Expedition,3.5 AT,V-type,6,petrol,13.1,14.7,10.7
Ford,Expedition,4.6 AT AWD,V-type,8,Gasoline,15,16.8,13.1
Ford,Expedition,5.4 Flex Fuel AT AWD EL,V-type,8,Gasoline,15.7,18.1,13.1
Ford,Expedition,5.4 Flex Fuel AT AWD,V-type,8,Gasoline,15.7,18.1,13.1
Ford,Expedition,5.4 Flex Fuel AT EL,V-type,8,Gasoline,14.7,16.8,11.8
Ford,Expedition,5.4 Flex Fuel AT,V-type,8,Gasoline,14.7,16.8,11.8
Ford,Explorer Sport Trac,4.0 AT 4x4,V-type,6,Gasoline,15.7,18,13
Ford,Explorer Sport Trac,4.0 AT,V-type,6,Gasoline,14.7,16.8,12.4
Ford,Explorer Sport Trac,4.0 MT 4x4,V-type,6,Gasoline,14.7,16.8,13
Ford,Explorer Sport Trac,4.0 MT,V-type,6,Gasoline,13.8,15.7,12.4
Ford,Explorer Sport Trac,4.6 AT 4x4,V-type,8,Gasoline,14.3,16.8,12.4
Ford,Explorer Sport Trac,4.6 AT,V-type,8,Gasoline,14.8,15.7,11.2
Ford,Explorer,2.0 EcoBoost AT,Inline,4,Gasoline,10.2,11.8,8.4
Ford,Explorer,3.5 EcoBoost SelectShift 4WD,V-type,6,Gasoline,12.3,17.3,9.4
Ford,Explorer,3.5 Ecoboost SelectShift 4WD,V-type,6,Gasoline,12.3,17.3,9.4
Ford,Explorer,3.5 SelectShift 4WD,V-type,6,Gasoline,11,14.9,8.8
Ford,Explorer,3.5 SelectShift,V-type,6,Gasoline,11.8,13.8,9.8
Ford,Explorer,4.0 4AT 4x4,V-type,6,Gasoline,15.9,20.5,15
Ford,Explorer,4.0 4AT,V-type,6,Gasoline,14.8,19,14
Ford,Explorer,4.0 5AT 4x4,V-type,6,Gasoline,16.5,21,15
Ford,Explorer,4.0 5AT,V-type,6,Gasoline,15.4,20,14
Ford,Explorer,4.0 AT 4x4,V-type,6,Gasoline,17,22,15
Ford,Explorer,4.0 AT,V-type,6,Gasoline,15.3,20,14
Ford,Explorer,4.0 MT 4x4,V-type,6,Gasoline,15.1,19.5,13.5
Ford,Explorer,4.0 MT,V-type,6,Gasoline,13.9,18,13
Ford,Explorer,4.6 AT 4x4,V-type,8,Gasoline,19.2,25,16
Ford,Explorer,4.6 AT,V-type,8,Gasoline,17.9,23,15
Ford,Explorer,4.9 AT 4x4,V-type,8,Gasoline,18.9,25,18
Ford,Explorer,4.9 AT,V-type,8,Gasoline,17.9,23.5,17
Ford,Explorer,5.0 AT 4x4,V-type,8,Gasoline,19.1,24,17
Ford,Explorer,5.0 AT,V-type,8,Gasoline,17.8,22,16
Ford,Fiesta ST,1.5 MT,inline,3,petrol,6,7.6,5.1
Ford,Fiesta ST,1.6 MT,inline,4,Gasoline,5.9,7.9,4.8
Ford,Fiesta ST,2.0 MT,inline,4,Gasoline,7.4,10.4,5.7
Ford,Fiesta,1.0 4MT,Inline,4,Gasoline,6.4,7,5.2
Ford,Fiesta,1.0 5MT,Inline,4,Gasoline,6.5,7.1,5
Ford,Fiesta,1.0 EcoBoost MT,Inline,3,Gasoline,4.5,5.9,3.7
Ford,Fiesta,1.0 EcoBoost Powershift,Inline,3,Gasoline,4.9,6.6,3.9
Ford,Fiesta,1.0 EcoBoost S MT,Inline,3,Gasoline,4.3,5.3,3.7
Ford,Fiesta,1.0 Flex MT,Inline,4,Gasoline,8.3,12,6.3
Ford,Fiesta,1.0 MT,Inline,4,Gasoline,7.9,8.2,5.6
Ford,Fiesta,1.1 4MT,Inline,4,Gasoline,6,6.2,4.9
Ford,Fiesta,1.1 5MT,Inline,4,Gasoline,6,6.4,4.8
Ford,Fiesta,1.1 CTX,Inline,4,Gasoline,6.3,7.2,4.8
Ford,Fiesta,1.1 Economy MT,Inline,4,Gasoline,6.7,7.9,5.1
Ford,Fiesta,1.1 MT,Inline,4,Gasoline,7.7,8.8,6
Ford,Fiesta,1.1 S MT,Inline,4,Gasoline,7.7,8.8,6
Ford,Fiesta,1.1i MT,Inline,4,Gasoline,6,6.8,4.7
Ford,Fiesta,1.2 CVT,Inline,4,Gasoline,7,9.2,5.9
Ford,Fiesta,1.2 MT,Inline,4,Gasoline,7,9.2,5.9
Ford,Fiesta,1.25 CTX,Inline,4,Gasoline,7.1,9.3,5.8
Ford,Fiesta,1.25 MT,Inline,4,Gasoline,6.8,8.9,5.6
Ford,Fiesta,1.3 AT,Inline,4,Gasoline,7,9.2,5.9
Ford,Fiesta,1.3 MT,Inline,4,Gasoline,8.4,9,6.4
Ford,Fiesta,1.3 S MT,Inline,4,Gasoline,8.4,9,6.4
Ford,Fiesta,1.3i CTX,Inline,4,Gasoline,6.6,8.9,4.9
Ford,Fiesta,1.3i MT,Inline,4,Gasoline,6.4,7.8,4.9
Ford,Fiesta,1.4 AT,Inline,4,Gasoline,6.5,8.9,5.1
Ford,Fiesta,1.4 CTX,Inline,4,Gasoline,7,8.7,5.7
Ford,Fiesta,1.4 Durashift EST,Inline,4,Gasoline,6,7.7,4.9
Ford,Fiesta,1.4 Durashift,Inline,4,Gasoline,6.3,8.3,5.2
Ford,Fiesta,1.4 LPG MT,Inline,4,Gasoline,7.2,9.5,5.8
Ford,Fiesta,1.4 MT,Inline,4,Gasoline,7.6,9.3,5.7
Ford,Fiesta,1.4 S MT,Inline,4,Gasoline,7.7,9.3,5.7
Ford,Fiesta,1.4 TDCi Durashift,Inline,4,Diesel,4.3,5.3,3.7
Ford,Fiesta,1.4 TDCi MT,Inline,4,Diesel,4.3,5.3,3.7
Ford,Fiesta,1.4 TDCi Max MT,Inline,4,Diesel,4.6,5.6,4.2
Ford,Fiesta,1.4 TDCi Zetec MT,Inline,4,Diesel,4.5,5.8,3.8
Ford,Fiesta,1.4TDCi MT,Inline,4,Diesel,4.2,5.3,3.6
Ford,Fiesta,1.4i Futura MT,Inline,4,Gasoline,7.5,9.3,5.6
Ford,Fiesta,1.4i MT,Inline,4,Gasoline,7.2,8.8,5.6
Ford,Fiesta,1.4i S MT,Inline,4,Gasoline,7.2,8.8,5.6
Ford,Fiesta,1.5 EcoBoost MT,Inline,4,Gasoline,6.1,8.2,4.9
Ford,Fiesta,1.5 TDCi  MT,Inline,4,Diesel,3.7,4.4,3.3
Ford,Fiesta,1.5 TDCi Duratorq MT,Inline,4,Diesel,3.7,4.4,3.3
Ford,Fiesta,1.5 TDCi MT,Inline,4,Diesel,3.7,4.4,3.3
Ford,Fiesta,1.6 AT,Inline,4,Gasoline,6.6,9.1,5.2
Ford,Fiesta,1.6 D MT,Inline,4,Diesel,5.1,6,3.8
Ford,Fiesta,1.6 EcoBoost  MT,Inline,4,Gasoline,6,7.7,5
Ford,Fiesta,1.6 EcoBoost MT,Inline,4,Gasoline,5.9,7.9,4.8
Ford,Fiesta,1.6 Flex MT,Inline,4,Gasoline,7.9,12.7,5.8
Ford,Fiesta,1.6 L Duratorq TDCi ECOnetic MT,Inline,4,Diesel,4.5,5.4,4.1
Ford,Fiesta,1.6 MT,Inline,4,Gasoline,8.5,9.1,6.5
Ford,Fiesta,1.6 Max MT,Inline,4,Gasoline,8.4,10.5,7
Ford,Fiesta,1.6 PowerShift,Inline,4,Gasoline,6.1,9.3,4.9
Ford,Fiesta,1.6 RS Turbo MT,Inline,4,Gasoline,8.2,10.7,6.2
Ford,Fiesta,1.6 Rocam Flex MT,Inline,4,Gasoline,8.3,12.1,6.1
Ford,Fiesta,1.6 SFE PowerShift,Inline,4,Gasoline,7,8.1,5.8
Ford,Fiesta,1.6 Sport MT,Inline,4,Gasoline,7.3,9.5,6
Ford,Fiesta,1.6 Sport Ti-VCT MT,Inline,4,Gasoline,5.9,8,4.8
Ford,Fiesta,1.6 TDCi  MT,Inline,4,Diesel,3.6,4.4,3.2
Ford,Fiesta,1.6 TDCi ECOnetic  MT,Inline,4,Diesel,3.3,3.8,3.1
Ford,Fiesta,1.6 TDCi ECOnetic MT,Inline,4,Diesel,3.6,4,3.2
Ford,Fiesta,1.6 TDCi MT,Inline,4,Diesel,4.5,5.4,4.1
Ford,Fiesta,1.6 TDCi S MT,Inline,4,Diesel,3.6,4.4,3.2
Ford,Fiesta,1.6 TDCi Zetec S MT,Inline,4,Diesel,4.4,5.2,3.9
Ford,Fiesta,1.6 Ti-VCT MT,Inline,4,Gasoline,5.9,7.9,4.7
Ford,Fiesta,1.6 Ti-VCT PowerShift,Inline,4,Gasoline,5.9,8.4,4.5
Ford,Fiesta,1.6 Zetec S MT,Inline,4,Gasoline,6.5,8.8,5.2
Ford,Fiesta,1.6TDCi MT,Inline,4,Diesel,4.1,4.9,3.6
Ford,Fiesta,1.6i Futura MT,Inline,4,Gasoline,7.8,9.3,6.2
Ford,Fiesta,1.6i MT,Inline,4,Gasoline,7.8,9.3,6.2
Ford,Fiesta,1.6i S MT,Inline,4,Gasoline,7.8,9.3,6.2
Ford,Fiesta,1.6i XR2i MT,Inline,4,Gasoline,8.1,10.4,6.1
Ford,Fiesta,1.8 D MT,Inline,4,Diesel,5.1,5.8,4
Ford,Fiesta,1.8 RS1800 MT,Inline,4,Gasoline,8.2,9.7,6.3
Ford,Fiesta,1.8 TD RS MT,Inline,4,Diesel,5.8,6.5,4.5
Ford,Fiesta,1.8i S MT,Inline,4,Gasoline,8,9.7,6.4
Ford,Fiesta,1.8i XR2i MT,Inline,4,Gasoline,8,9.7,6.4
Ford,Fiesta,2.0 MT,Inline,4,Gasoline,7.4,10.4,5.7
Ford,Fiesta,2.0 ST165 MT,Inline,4,Gasoline,9.1,10.4,8.2
Ford,Fiesta,2.0 ST185 MT,Inline,4,Gasoline,9.6,11.1,8.3
Ford,Fiesta,2.0 ST500 MT,Inline,4,Gasoline,7.4,10.4,5.7
Ford,Flex,3.5 AT 4WD,V-type,6,petrol,12.4,13.8,10.2
Ford,Flex,3.5 AT AWD,V-type,6,Gasoline,13.1,14.7,10.2
Ford,Focus,1.0 EcoBoost AT,Inline,3,Gasoline,5,6.5,4.2
Ford,Focus,1.0 EcoBoost MT,Inline,3,Gasoline,4.8,5.9,4.1
Ford,Focus,1.4  MT,Inline,4,Gasoline,7.8,10.9,6.1
Ford,Focus,1.4 AT,Inline,4,Gasoline,7.8,10.9,6.1
Ford,Focus,1.4 MT,Inline,4,Gasoline,6.7,8.8,5.4
Ford,Focus,1.5 EcoBlue AT,Inline,4,Diesel,4.2,4.7,3.9
Ford,Focus,1.5 EcoBlue MT,Inline,4,Diesel,3.6,4,3.4
Ford,Focus,1.5 EcoBoost AT,Inline,4,Gasoline,6.7,10,4.9
Ford,Focus,1.5 EcoBoost MT,Inline,4,Gasoline,5.6,7.1,4.7
Ford,Focus,1.5 TDCi MT,Inline,4,Diesel,3.4,3.9,3.1
Ford,Focus,1.5 TDCi PowerShift,Inline,4,Diesel,4.2,5.1,3.7
Ford,Focus,1.6 AT,Inline,4,Gasoline,7.8,10.9,6.1
Ford,Focus,1.6 EcoBoost MT,Inline,4,Gasoline,5.9,7.6,4.9
Ford,Focus,1.6 FlexiFuel MT,Inline,4,Gasoline,5.9,7.6,4.9
Ford,Focus,1.6 MT,Inline,4,Gasoline,6.9,9.2,5.5
Ford,Focus,1.6 PowerShift,Inline,4,Gasoline,6.4,9.3,4.8
Ford,Focus,1.6 TDCi CVT,Inline,4,Diesel,5.5,6.9,4.7
Ford,Focus,1.6 TDCi ECOnetic 88 MT,Inline,4,Diesel,3.4,3.9,3.1
Ford,Focus,1.6 TDCi ECOnetic 99 MT,Inline,4,Diesel,3.4,3.9,3.1
Ford,Focus,1.6 TDCi ECOnetic MT,Inline,4,Diesel,4.5,5.8,3.8
Ford,Focus,1.6 TDCi MT,Inline,4,Diesel,4.8,6.2,4
Ford,Focus,1.6 Ti-VCT MT,Inline,4,Gasoline,6,8.4,4.7
Ford,Focus,1.6 Ti-VCT PowerShift,Inline,4,Gasoline,6.3,8.7,4.9
Ford,Focus,1.8 AT TDCi,Inline,4,Diesel,5.4,7.2,4.4
Ford,Focus,1.8 AT TDDi,Inline,4,Diesel,5.4,7.2,4.4
Ford,Focus,1.8 AT,Inline,4,Gasoline,7.6,10.3,6
Ford,Focus,1.8 FlexiFuel MT,Inline,4,Gasoline,7,9.5,5.6
Ford,Focus,1.8 MT TDCi,Inline,4,Diesel,5.4,7.2,4.4
Ford,Focus,1.8 MT TDDi,Inline,4,Diesel,5.4,7.2,4.4
Ford,Focus,1.8 MT,Inline,4,Gasoline,7.6,10.3,6
Ford,Focus,1.8 TDCi AT,Inline,4,Diesel,6.3,7.2,5.1
Ford,Focus,1.8 TDCi MT,Inline,4,Diesel,5.4,7.2,4.4
Ford,Focus,1.8 TDDi AT,Inline,4,Diesel,6.1,7.4,4.5
Ford,Focus,1.8 TDDi MT,Inline,4,Diesel,5.1,6.9,4.3
Ford,Focus,1.8 TDi AT,Inline,4,Diesel,6.6,7.2,5.1
Ford,Focus,1.8 TDi MT,Inline,4,Diesel,5.4,6.8,4.1
Ford,Focus,2.0 AT,Inline,4,Gasoline,8.5,9.4,6.7
Ford,Focus,2.0 EcoBoost MT,Inline,4,Gasoline,7.2,9.9,5.6
Ford,Focus,2.0 MT,Inline,4,Gasoline,8.5,9.4,6.7
Ford,Focus,2.0 PowerShift,Inline,4,Gasoline,6.4,9.1,4.9
Ford,Focus,2.0 TDCi AT,Inline,4,Diesel,5.7,7.5,4.7
Ford,Focus,2.0 TDCi MT,Inline,4,Diesel,5.9,7.7,4.9
Ford,Focus,2.0 TDCi PowerShift,Inline,4,Diesel,5.8,7.8,4.7
Ford,Focus,2.5 T MT,Inline,5,Gasoline,9.3,13.8,6.8
