make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
Mitsubishi,Pajero,3.2 DI-D AT,Inline,4,Diesel,10.5,13.3,8.7
Mitsubishi,Pajero,3.2 DI-D MT AWD,Inline,4,Diesel,9.2,11.9,7.6
Mitsubishi,Pajero,3.2 DI-D MT,Inline,4,Diesel,9.5,12.4,7.9
Mitsubishi,Pajero,3.2 MT 4WD,inline,4,diesel,8.7,11,7.4
Mitsubishi,Pajero,3.5 AT,V-type,6,Gasoline,14,18.6,11.3
Mitsubishi,Pajero,3.5 GDI AT,V-type,6,Gasoline,14.2,17.5,10.8
Mitsubishi,Pajero,3.5 GDI MT,V-type,6,Gasoline,12.9,16.9,10.5
Mitsubishi,Pajero,3.5 MT 4WD,V-type,6,petrol,12.2,15.8,10
Mitsubishi,Pajero,3.5 MT,V-type,6,Gasoline,13.5,18.1,10.8
Mitsubishi,Pajero,3.8 AT 4WD,V-type,6,petrol,13.5,17.7,11.2
Mitsubishi,Pajero,3.8 AT AWD,V-type,6,Gasoline,13.4,17.6,11.2
Mitsubishi,Space Gear,2.0 MT,Inline,4,Gasoline,11.3,14.5,9.4
Mitsubishi,Space Runner,1.8 AT,Inline,4,Gasoline,9.3,12.3,7.6
Mitsubishi,Space Runner,1.8 MT,Inline,4,Gasoline,8.8,11.7,7.1
Mitsubishi,Space Runner,2.0 AT,Inline,4,Gasoline,10.1,13.3,8.3
Mitsubishi,Space Runner,2.0 MT,Inline,4,Gasoline,9.2,12.2,7.5
Mitsubishi,Space Runner,2.4 GDI AT,Inline,4,Gasoline,9.6,12.8,7.8
Mitsubishi,Space Runner,2.4 GDI MT,Inline,4,Gasoline,9.1,12,7.4
Mitsubishi,Space Star,1.0 MT,inline,3,petrol,4.2,5,3.6
Mitsubishi,Space Star,1.2 CVT,inline,3,petrol,4.1,4.6,3.8
Mitsubishi,Space Star,1.2 MT,inline,3,petrol,4.1,4.8,3.7
Mitsubishi,Space Star,1.3 MT,Inline,4,Gasoline,6.8,8.8,5.7
Mitsubishi,Space Star,1.6 AT,Inline,4,Gasoline,8.2,10.7,6.6
Mitsubishi,Space Star,1.6 MT,Inline,4,Gasoline,7.2,9.3,6
Mitsubishi,Space Star,1.8 AT,Inline,4,Gasoline,8.5,11.3,6.8
Mitsubishi,Space Star,1.8 GDI AT,Inline,4,Gasoline,8.3,11.2,6.6
Mitsubishi,Space Star,1.8 GDI MT,Inline,4,Gasoline,7.2,9.2,6.1
Mitsubishi,Space Star,1.8 MT,Inline,4,Gasoline,7.6,10,6.2
Mitsubishi,Space Star,1.9 DI-D MT,Inline,4,Diesel,5.5,7.2,4.6
Mitsubishi,Space Wagon,2.0 MT,Inline,4,Gasoline,9.5,12.6,7.6
Mitsubishi,Space Wagon,2.4 AT 4WD,inline,4,petrol,10.3,13.7,8.3
Mitsubishi,Space Wagon,2.4 AT,inline,4,petrol,9.9,13.2,8.1
Mitsubishi,Space Wagon,2.4 GDi AT,Inline,4,Gasoline,10.1,13.3,8.3
Mitsubishi,Space Wagon,2.4 GDi MT 4WD,Inline,4,Gasoline,10.3,13.7,8.3
Mitsubishi,Space Wagon,2.4 GDi MT,Inline,4,Gasoline,9.6,12.8,7.9
Mitsubishi,Space Wagon,2.4 MT 4WD,inline,4,petrol,10.3,13.7,8.3
Mitsubishi,Space Wagon,2.4 MT,inline,4,petrol,9.6,12.8,7.9
Mitsubishi,Space Wagon,3.0 AT,V-type,6,petrol,12.6,15.2,9.4
Mitsubishi,Space Wagon,3.0 GDi AT 4WD,V-type,6,Gasoline,12.6,15.2,9.4
Morgan,4-Apr,1.8 MT,Inline,4,Gasoline,8,11,6
Morgan,Aero 8,4.4 MT,V-type,8,Gasoline,12,18,8
Moskvich,2137,1.5 MT,Inline,4,Gasoline,10.2,12.5,7.4
Moskvich,2140,1.5 MT,Inline,4,Gasoline,10.2,12.5,7.4
Moskvich,402,1.2 MT,Inline,4,Gasoline,8,11,7
Moskvich,403,1.4 MT,Inline,4,Gasoline,8,10,6
Moskvich,407,1.4 MT,Inline,4,Gasoline,8,10,6.5
Moskvich,408,1.4 MT,Inline,4,Gasoline,8.4,9,7.7
Moskvich,412,1.5 MT,Inline,4,Gasoline,10.5,12.5,8.5
Moskvich,423,1.4 MT,Inline,4,Gasoline,9,11,7.5
Moskvich,Svyatogor,1.7 MT,Inline,4,Gasoline,7,10,6
Nissan,100NX,1.5 AT,Inline,4,Gasoline,9.8,11.2,7.8
Nissan,100NX,1.6 AT,inline,4,petrol,8.4,10,6.9
Nissan,100NX,1.6 MT SR,Inline,4,Gasoline,6.9,7.8,5.5
Nissan,100NX,1.6 MT,inline,4,petrol,8.3,9.6,6.7
Nissan,100NX,2.0 MT GTI,Inline,4,Gasoline,8.6,9.5,7.7
Nissan,100NX,2.0 MT,inline,4,petrol,8.6,11,7.7
Nissan,180SX,1.8 turbo MT,Inline,4,Gasoline,6,10.9,5.2
Nissan,180SX,2.0  AT,Inline,4,Gasoline,9,12.5,7.5
Nissan,180SX,2.0  MT,Inline,4,Gasoline,9.5,13,7.9
Nissan,180SX,2.0 AT,Inline,4,Gasoline,6,10.5,5.5
Nissan,180SX,2.0 MT,Inline,4,Gasoline,6,10.2,5.5
Nissan,300ZX,2.0 AT,V-type,6,Gasoline,12.9,15.2,9.8
Nissan,300ZX,2.0 MT,V-type,6,Gasoline,12.8,15,9.5
Nissan,300ZX,3.0 AT,V-type,6,Gasoline,13,18,10
Nissan,300ZX,3.0 MT,V-type,6,Gasoline,13.7,18.2,10.1
Nissan,300ZX,3.0 Twin Turbo AT,V-type,6,Gasoline,11.2,16.2,9.8
Nissan,300ZX,3.0 Twin Turbo MT,V-type,6,Gasoline,11.2,16.8,9.8
Nissan,300ZX,3.0 turbo MT,V-type,6,Gasoline,10.4,14.5,9.2
Nissan,350Z,3.5 AT,V-type,6,Gasoline,10.7,16.1,8.7
Nissan,350Z,3.5 MT 35th Anniversary Edition,V-type,6,Gasoline,11.7,16.1,8.9
Nissan,350Z,3.5 MT Gran Turismo 4,V-type,6,Gasoline,11.7,16.1,8.9
Nissan,350Z,3.5 MT,V-type,6,petrol,11.4,16.1,8.7
Nissan,370Z,3.7 AT,V-type,6,petrol,10.9,13.1,9.4
